Reviewer,Star Rating,Snippet,Full Review,index.html,reviews.html,sellers.html,buyer_timeline.html,events.html,hereforyou.html,movedna.html,news.html,professionals.html,searches.html,stats.html
"Avery & Blue, Buyers in Edmonds",5,,"We are so glad for the opportunity to work with Joe to find our very first home. He is responsive to messages and tour requests, provided honest insights on the properties we were interested in and helped us look over HOA documents, which as you can imagine, is pretty overwhelming for first time buyers. Thanks to Joe we were able to promptly check the docs, confirm we’re in a good position to put in an offer. We really appreciate his effort to check with the LA on how our offer was doing, it allowed us to make quick adjustments, and ultimately secured the house! ",x,,,,,,,,,,
"Bethany, Buyer in Lacey",5,,"It was such a pleasure working with Joe on the purchase of my home. He was so patient with me, given that it was my first home-buying experience and I didn't know anything! He was also extremely knowledgeable about all things real estate and home-maintenance and was always available to answer my questions. I would highly recommend anyone choose Joe f they're in the market for a new home. ",x,,,,,,,,,,
"Holly & Matt, Repeat Buyers & Sellers",5,,"Joe is fantastic! We sought him out to buy our next home. He happily took us on even though we’re out of his normal area. We were so grateful to work with Joe again. He’s patient, knowledgeable and really advocates for what we wanted and what was important to us. I really can’t say enough great things about Joe! ",x,,x,,,,,,,,
"Tom, Buyer in Bellingham",5,,Joe was terrific.  He kept me informed of where we stood on the offers that we submitted.  He is exceptional at evaluating properties and provided valuable advice on pricing the offers.  He's a keeper!!! ,x,,,,,,,,,,
"Michael, Seller in Lake Stevens",5,,"The most important attributes [to our family] for a quality real estate agent include communication, genuine honesty, and then championing our needs and interests.  As a buyer/seller, you're not directly involved with the transaction so it's very important to have a representative that understands you. Joe has been our honest, and responsive champion throughout this process and we would absolutely recommend him to others. ",x,,x,,,,,,,,
"Greg, Seller in Shoreline",5,,Very knowlegable and attentive to ever detail of the sale. Available and answers questions promptly. Guides you through the whole process with expertise. Joe and his associates were all simply awesome. They insured the whole process was smooth and easy. ,x,,,,,,,,,,
"William & Becky, Buyers in Anacortes",5,,"Joe was experienced and able to accurately communicate and guide us through a daunting process.  It led to a successful sale, and happy clients! ",x,,,,,,,,,,
"Elizabeth & Dan, Buyers in La Conner",5,,Knowledgeable and helpful. Joe made buying our new home easy and painless. ,x,,,,,,,,,,
"Cody, Seller in Lynnwood",5,,"It was great working with Joe, he was great with communication and really on the ball throughout the process. He made my experience with Redfin very pleasant and I will be recommending your services to others. ",x,,,,,,,,,,
"Mesfin & Eyrusalem, Sellers in Lynnwood",5,,"Joe was exactly the kind of agent I was looking for. The whole Redfin experience was much better for me than my previous traditional realtor experiences. Joe was highly professional, knowledgeable and dedicated! Working with Joe was an absolute pleasure. He fight for you if something is happen during the process and I am blessed to have him. So, I would recommend Joe Sheldon's services to our friends and families. ",x,,x,,,,,,,,
"Leeann & Charles, Sellers in Kenmore",5,,Joe is super responsive. He always ensured we were up to date on all activities. If he was not going to be available he would ensure someone from his team was and would inform us as such. ,x,,,,,,,,,,
