City,County,School District,Scope,Category,Notes,Feed Name,Feed Format,Valid,Status Code,Feed URL
Auburn,King,Auburn School District,city,City Council,Discovered CivicClerk Meeting Portal,Auburn CivicClerk Portal,external_link,Yes,200,https://auburnwa.civicclerk.com
Maple Valley,King,Tahoma School District,school,Video Stream,Discovered Official YouTube Channel (@UC-yiQAmqsHs7y6SezGyDG_A) [Live Stream & Embed URL],Tahoma School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC-yiQAmqsHs7y6SezGyDG_A
Maple Valley,King,Tahoma School District,school,Video Stream,Discovered Official YouTube Channel (@UC-yiQAmqsHs7y6SezGyDG_A) [Harvester Atom RSS Feed],Tahoma School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC-yiQAmqsHs7y6SezGyDG_A
Duvall,King,Riverview School District,city,Video Stream,Discovered Official YouTube Channel (@UCOqh4hSk3ltYCToqSLmU5qw) [Live Stream & Embed URL],Duvall Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCOqh4hSk3ltYCToqSLmU5qw
Duvall,King,Riverview School District,city,Video Stream,Discovered Official YouTube Channel (@UCOqh4hSk3ltYCToqSLmU5qw) [Harvester Atom RSS Feed],Duvall Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCOqh4hSk3ltYCToqSLmU5qw
Des Moines,King,Highline School District,city,Video Stream,Discovered Official YouTube Channel (@UChx3_5qD7vH4QBRJtW_cQ2g) [Live Stream & Embed URL],Des Moines Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UChx3_5qD7vH4QBRJtW_cQ2g
Des Moines,King,Highline School District,city,Video Stream,Discovered Official YouTube Channel (@UChx3_5qD7vH4QBRJtW_cQ2g) [Harvester Atom RSS Feed],Des Moines Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UChx3_5qD7vH4QBRJtW_cQ2g
Issaquah,King,Issaquah School District,school,Video Stream,Discovered Official YouTube Channel (@UCfh4P5-N2FEu4Rg5zU5h_oA) [Live Stream & Embed URL],Issaquah School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCfh4P5-N2FEu4Rg5zU5h_oA
Issaquah,King,Issaquah School District,school,Video Stream,Discovered Official YouTube Channel (@UCfh4P5-N2FEu4Rg5zU5h_oA) [Harvester Atom RSS Feed],Issaquah School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCfh4P5-N2FEu4Rg5zU5h_oA
Bellevue,King,Bellevue School District,city,Video Stream,Discovered Official YouTube Channel (@UCW22suSoHWumwarCbu3NkOg) [Live Stream & Embed URL],Bellevue Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCW22suSoHWumwarCbu3NkOg
Bellevue,King,Bellevue School District,city,Video Stream,Discovered Official YouTube Channel (@UCW22suSoHWumwarCbu3NkOg) [Harvester Atom RSS Feed],Bellevue Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCW22suSoHWumwarCbu3NkOg
Enumclaw,King,Enumclaw School District,school,Video Stream,Discovered Official YouTube Channel (@UCB13q8cZlCLJlUoz2zrqeuQ) [Live Stream & Embed URL],Enumclaw School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCB13q8cZlCLJlUoz2zrqeuQ
Enumclaw,King,Enumclaw School District,school,Video Stream,Discovered Official YouTube Channel (@UCB13q8cZlCLJlUoz2zrqeuQ) [Harvester Atom RSS Feed],Enumclaw School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCB13q8cZlCLJlUoz2zrqeuQ
Mercer Island,King,Mercer Island School District,city,Video Stream,Discovered Official YouTube Channel (@UCeJ06MR44sdsy8WyuMl-dcw) [Live Stream & Embed URL],Mercer Island Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCeJ06MR44sdsy8WyuMl-dcw
Mercer Island,King,Mercer Island School District,city,Video Stream,Discovered Official YouTube Channel (@UCeJ06MR44sdsy8WyuMl-dcw) [Harvester Atom RSS Feed],Mercer Island Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCeJ06MR44sdsy8WyuMl-dcw
Des Moines,King,Highline School District,city,Video Stream,Discovered Official YouTube Channel (@desmoinescouncilmember308) [Live Stream & Embed URL],Des Moines Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UChx3_5qD7vH4QBRJtW_cQ2g
Des Moines,King,Highline School District,city,Video Stream,Discovered Official YouTube Channel (@desmoinescouncilmember308) [Harvester Atom RSS Feed],Des Moines Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UChx3_5qD7vH4QBRJtW_cQ2g
Newcastle,King,Issaquah School District,city,Video Stream,Discovered Official YouTube Channel (@UC8P81_WT5AtvuHGvrNBZbjg) [Live Stream & Embed URL],Newcastle Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC8P81_WT5AtvuHGvrNBZbjg
Newcastle,King,Issaquah School District,city,Video Stream,Discovered Official YouTube Channel (@UC8P81_WT5AtvuHGvrNBZbjg) [Harvester Atom RSS Feed],Newcastle Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC8P81_WT5AtvuHGvrNBZbjg
Normandy Park,King,Highline School District,city,Video Stream,Discovered Official YouTube Channel (@UCNggpFGP2Z4wUGGZjpTsw2g) [Live Stream & Embed URL],Normandy Park Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCNggpFGP2Z4wUGGZjpTsw2g
Normandy Park,King,Highline School District,city,Video Stream,Discovered Official YouTube Channel (@UCNggpFGP2Z4wUGGZjpTsw2g) [Harvester Atom RSS Feed],Normandy Park Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCNggpFGP2Z4wUGGZjpTsw2g
North Bend,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@UCXyoDSWWOczdIGgqxv4coFw) [Live Stream & Embed URL],North Bend Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCXyoDSWWOczdIGgqxv4coFw
North Bend,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@UCXyoDSWWOczdIGgqxv4coFw) [Harvester Atom RSS Feed],North Bend Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCXyoDSWWOczdIGgqxv4coFw
Mercer Island,King,Mercer Island School District,school,Video Stream,Discovered Official YouTube Channel (@misdcommunications9957) [Live Stream & Embed URL],Mercer Island School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC1hqcU57Zps4V2YEGtNyGVw
Mercer Island,King,Mercer Island School District,school,Video Stream,Discovered Official YouTube Channel (@misdcommunications9957) [Harvester Atom RSS Feed],Mercer Island School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC1hqcU57Zps4V2YEGtNyGVw
Mercer Island,King,Mercer Island School District,city,Video Stream,Discovered Official YouTube Channel (@cityofmercerisland) [Live Stream & Embed URL],Mercer Island Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCcI3rRK2kIn-H9Qd6FZEP7w
Mercer Island,King,Mercer Island School District,city,Video Stream,Discovered Official YouTube Channel (@cityofmercerisland) [Harvester Atom RSS Feed],Mercer Island Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCcI3rRK2kIn-H9Qd6FZEP7w
Kent,King,Kent School District,school,Video Stream,Discovered Official YouTube Channel (@KentSchoolDistrictIT) [Live Stream & Embed URL],Kent School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC2z8JWPppEQ_aNEN02WpvBw
Kent,King,Kent School District,school,Video Stream,Discovered Official YouTube Channel (@KentSchoolDistrictIT) [Harvester Atom RSS Feed],Kent School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC2z8JWPppEQ_aNEN02WpvBw
Milton,King,Fife School District,city,Video Stream,Discovered Official YouTube Channel (@miltonwa) [Live Stream & Embed URL],Milton Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC8_CcLLwFqWtFQuFFsVaO7g
Milton,King,Fife School District,city,Video Stream,Discovered Official YouTube Channel (@miltonwa) [Harvester Atom RSS Feed],Milton Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC8_CcLLwFqWtFQuFFsVaO7g
Kenmore,King,Northshore School District,city,Video Stream,Discovered Official YouTube Channel () [Live Stream & Embed URL],Kenmore Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UC5M2Jyz38UIea_Q-RKXE0og
Kenmore,King,Northshore School District,city,Video Stream,Discovered Official YouTube Channel () [Harvester Atom RSS Feed],Kenmore Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UC5M2Jyz38UIea_Q-RKXE0og
Auburn,King,Auburn School District,city,Video Stream,Discovered Official YouTube Channel (@komonews) [Live Stream & Embed URL],Auburn Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCQpj3Ocl_uy8IJzdX0O0-IA
Auburn,King,Auburn School District,city,Video Stream,Discovered Official YouTube Channel (@komonews) [Harvester Atom RSS Feed],Auburn Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCQpj3Ocl_uy8IJzdX0O0-IA
Federal Way,King,Federal Way Public Schools,city,Video Stream,Discovered Official YouTube Channel (@FWYoutube) [Live Stream & Embed URL],Federal Way Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCSKkw4enJGn9TuMfV3bQAbQ
Federal Way,King,Federal Way Public Schools,city,Video Stream,Discovered Official YouTube Channel (@FWYoutube) [Harvester Atom RSS Feed],Federal Way Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCSKkw4enJGn9TuMfV3bQAbQ
Snoqualmie,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@UCagVMZC1tjIfayBZ-VthGUg) [Live Stream & Embed URL],Snoqualmie Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCagVMZC1tjIfayBZ-VthGUg
Snoqualmie,King,Snoqualmie Valley School District,city,Video Stream,Discovered Official YouTube Channel (@UCagVMZC1tjIfayBZ-VthGUg) [Harvester Atom RSS Feed],Snoqualmie Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCagVMZC1tjIfayBZ-VthGUg
Duvall,King,Riverview School District,city,Video Stream,Discovered Official YouTube Channel (@cityofduvallcouncil) [Live Stream & Embed URL],Duvall Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCOqh4hSk3ltYCToqSLmU5qw
Duvall,King,Riverview School District,city,Video Stream,Discovered Official YouTube Channel (@cityofduvallcouncil) [Harvester Atom RSS Feed],Duvall Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/feeds/videos.xml?channel_id=UCOqh4hSk3ltYCToqSLmU5qw
Medina,King,Bellevue School District,school,Video Stream,Discovered Official YouTube Channel (@bsd405) [Live Stream & Embed URL],Bellevue School District Official YouTube Channel,youtube_channel,Yes,200,https://www.youtube.com/channel/UCb4Hoh9cTgXul7qYHH1nwmA
